Method	Cell	Min Exp	Max Exp	Avg Exp	Median Exp	Min DE	Max DE	Avg DE	Median DE
Dataset	jurkat	-0.82	4.491	0.302	-0.131	-0.387	1.126	0.043	-0.052
coms designed	jurkat	1.519	3.916	2.838	2.85	0.704	1.215	1.052	1.057
coms designed v2	jurkat	1.566	3.916	2.851	2.861	0.705	1.215	1.059	1.065
dens designed	jurkat	1.557	4.063	2.801	2.82	0.701	1.21	1.035	1.044
dens designed v2	jurkat	1.902	4.002	2.842	2.841	0.848	1.21	1.069	1.079
Dataset	k562	-0.848	4.477	0.336	-0.04	-0.41	1.099	0.093	0.056
coms designed	k562	1.217	3.711	2.543	2.581	0.782	1.313	1.097	1.104
coms designed v2	k562	1.217	3.711	2.54	2.577	0.782	1.313	1.101	1.108
dens designed	k562	1.469	4.329	2.703	2.511	0.208	1.074	0.698	0.732
dens designed v2	k562	1.518	3.319	2.404	2.379	0.746	1.074	0.904	0.904
Dataset	thp1	-0.399	4.077	0.183	-0.084	-1.7	0.565	-0.136	0.008
coms designed	thp1	0.448	2.92	1.45	1.411	0.077	0.858	0.447	0.445
coms designed v2	thp1	0.448	2.92	1.43	1.39	0.17	0.858	0.464	0.462
dens designed	thp1	0.803	4.11	1.685	1.578	-0.181	0.761	0.567	0.586
dens designed v2	thp1	0.951	1.909	1.427	1.427	0.517	0.761	0.654	0.656
